epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,613.615,0.91124,1.74497,0.78589,1.08991,0.85639,0.75627,0.80633,0.60364,0.85776,0.75589,0.78978,0.51913,1.10676,2.17443,1.26952,1.33676,0.0008516,0.0008516,0.0008516
31,638.31,0.92499,1.76594,0.81721,1.11225,0.86798,0.75766,0.79292,0.59448,0.8686,0.75766,0.78257,0.4887,1.09153,2.27952,1.18094,1.29572,0.000812,0.000812,0.000812
32,656.254,0.89559,1.72623,0.80444,1.09608,0.84968,0.76323,0.80174,0.58828,0.86582,0.74652,0.78494,0.49428,1.13832,2.35673,1.22815,1.3054,0.0007724,0.0007724,0.0007724
33,673.051,0.90111,1.7012,0.79106,1.09348,0.79225,0.74889,0.78343,0.60303,0.80956,0.73259,0.7634,0.51238,1.06741,2.14609,1.19691,1.2793,0.0007328,0.0007328,0.0007328
34,690.171,0.87982,1.6891,0.75483,1.07084,0.87141,0.74095,0.79964,0.59466,0.87035,0.73862,0.77554,0.49265,1.10114,2.20863,1.18785,1.28025,0.0006932,0.0006932,0.0006932
35,707.134,0.88847,1.67232,0.76053,1.073,0.80474,0.7462,0.77571,0.58519,0.80083,0.73919,0.74269,0.48499,1.08232,2.2718,1.14192,1.27731,0.0006536,0.0006536,0.0006536
36,723.919,0.88741,1.64697,0.74936,1.07214,0.87823,0.75338,0.81429,0.60637,0.87174,0.7478,0.78669,0.50675,1.10188,2.24286,1.11311,1.29069,0.000614,0.000614,0.000614
37,741.239,0.87261,1.67231,0.75239,1.07592,0.85209,0.77023,0.81262,0.60346,0.85318,0.76323,0.79298,0.51481,1.10241,2.19578,1.15439,1.30266,0.0005744,0.0005744,0.0005744
38,758.932,0.86224,1.64084,0.73905,1.07658,0.86441,0.78136,0.81352,0.61338,0.86148,0.77437,0.79674,0.525,1.09014,2.15344,1.12446,1.28777,0.0005348,0.0005348,0.0005348
39,775.761,0.85969,1.62492,0.74172,1.06859,0.86626,0.77583,0.82183,0.62078,0.86004,0.77026,0.79503,0.53683,1.09654,2.12873,1.13973,1.31742,0.0004952,0.0004952,0.0004952
40,792.503,0.8468,1.64917,0.73675,1.07065,0.87874,0.76323,0.81315,0.61247,0.86948,0.75348,0.78627,0.51636,1.08695,2.13256,1.13112,1.29679,0.0004556,0.0004556,0.0004556
41,830.369,0.88061,1.61986,0.78656,1.07872,0.83504,0.76184,0.79016,0.59063,0.83783,0.75209,0.76327,0.4884,1.09201,2.20576,1.16376,1.28325,0.000416,0.000416,0.000416
42,846.602,0.8355,1.54462,0.73122,1.06451,0.86135,0.76741,0.81619,0.61894,0.87105,0.7493,0.78371,0.5141,1.06076,2.16732,1.1631,1.26124,0.0003764,0.0003764,0.0003764
43,862.926,0.81024,1.51467,0.71682,1.03869,0.85746,0.77298,0.81769,0.62474,0.86816,0.74652,0.79486,0.53564,1.03274,2.13187,1.15545,1.23199,0.0003368,0.0003368,0.0003368
44,879.984,0.78927,1.45828,0.69213,1.03143,0.88777,0.75627,0.81845,0.62068,0.88644,0.75012,0.79415,0.52617,1.04471,2.14855,1.11593,1.24445,0.0002972,0.0002972,0.0002972
45,897.036,0.78095,1.46302,0.66307,1.01562,0.87498,0.77981,0.81902,0.62756,0.85931,0.76602,0.78527,0.53336,1.01601,2.15323,1.0994,1.25264,0.0002576,0.0002576,0.0002576
46,913.477,0.79891,1.49426,0.70022,1.03891,0.86998,0.77855,0.81603,0.62039,0.85753,0.76741,0.79109,0.52685,1.02524,2.12384,1.10063,1.25611,0.000218,0.000218,0.000218
47,930.241,0.77363,1.44446,0.67195,1.0218,0.8583,0.77613,0.81622,0.62894,0.88201,0.74234,0.78613,0.52558,1.02286,2.11592,1.11394,1.24703,0.0001784,0.0001784,0.0001784
48,948.196,0.75731,1.39811,0.64263,1.00836,0.84466,0.78002,0.81325,0.6291,0.85827,0.75905,0.78963,0.53729,1.01332,2.10312,1.0885,1.23819,0.0001388,0.0001388,0.0001388
49,965.837,0.72572,1.42883,0.65332,1.01502,0.87244,0.77716,0.81718,0.62836,0.86738,0.76462,0.79155,0.53086,1.02885,2.10732,1.06546,1.24696,9.92e-05,9.92e-05,9.92e-05
50,984.009,0.73482,1.42468,0.65153,1.00584,0.86461,0.78266,0.81744,0.62914,0.86989,0.76358,0.78949,0.53231,1.02864,2.10923,1.07784,1.25359,5.96e-05,5.96e-05,5.96e-05
